review_status,district,name,category,address,road_address,latitude,longitude,naver_link,blog_search_url,matched_queries,local_hit_count,comment_sort_hit_count,blog_result_count,recent_blog_count,distinct_blogger_count,latest_post_date,recommendation_score,recommendation_reason,possible_duplicate,reject_reason
pending,대덕구,맛집부추해물칼국수,"한식>칼국수,만두",대전광역시 대덕구 신탄진동 139-24,대전광역시 대덕구 신탄진로804번길 31,36.4495571,127.4315926,,https://search.naver.com/search.naver?where=blog&query=%EB%A7%9B%EC%A7%91%EB%B6%80%EC%B6%94%ED%95%B4%EB%AC%BC%EC%B9%BC%EA%B5%AD%EC%88%98+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 칼국수 | 대덕구 해산물 | 신탄진 맛집 | 신탄진 칼국수 | 신탄진 한식 | 신탄진 해산물,9,4,95913,100,99,20260720,87,지역성: 칼국수; 최근 12개월 블로그 100건,,
pending,대덕구,교동면옥 대전중리점,한식>냉면,대전광역시 대덕구 중리동 230-1 1층 교동면옥 대전중리점,대전광역시 대덕구 한밭대로 1100 1층 교동면옥 대전중리점,36.3581939,127.4207980,https://www.instagram.com/kyodong_myeonok/,https://search.naver.com/search.naver?where=blog&query=%EA%B5%90%EB%8F%99%EB%A9%B4%EC%98%A5+%EB%8C%80%EC%A0%84%EC%A4%91%EB%A6%AC%EC%A0%90+%EA%B5%90%EB%8F%99,대덕구 국밥 | 대덕구 냉면 | 대덕구 맛집 | 대덕구 한식,7,3,2705,100,71,20260720,84,지역성: 대전; 최근 12개월 블로그 100건,,
pending,대덕구,우림칼국수 신탄진점,"음식점>한식>칼국수,만두",대전광역시 대덕구 신탄진동 155-15 우림칼국수 신탄진점,대전광역시 대덕구 신탄진동로 16-2 우림칼국수 신탄진점,36.4474104,127.4313714,,https://search.naver.com/search.naver?where=blog&query=%EC%9A%B0%EB%A6%BC%EC%B9%BC%EA%B5%AD%EC%88%98+%EC%8B%A0%ED%83%84%EC%A7%84%EC%A0%90+%EC%8B%A0%ED%83%84%EC%A7%84%EB%8F%99,대덕구 냉면 | 대덕구 칼국수 | 신탄진 냉면 | 신탄진 칼국수,5,4,264,100,100,20260718,84,지역성: 칼국수; 최근 12개월 블로그 100건,,
pending,대덕구,오문창순대국밥,"한식>순대,순댓국",대전광역시 대덕구 중리동 203-2,대전광역시 대덕구 한밭대로 1153,36.3592330,127.4265662,,https://search.naver.com/search.naver?where=blog&query=%EC%98%A4%EB%AC%B8%EC%B0%BD%EC%88%9C%EB%8C%80%EA%B5%AD%EB%B0%A5+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 고기 | 대덕구 국밥 | 대덕구 맛집 | 대덕구 한식,7,4,2146,100,97,20260720,81,최근 12개월 블로그 100건,,
pending,대덕구,공주쌍신집칼국수 대청댐점,"한식>칼국수,만두",대전광역시 대덕구 미호동 90-2 1층,대전광역시 대덕구 대청로 572 1층,36.4700081,127.4722662,https://app.catchtable.co.kr/ct/shop/gongjussangsin,https://search.naver.com/search.naver?where=blog&query=%EA%B3%B5%EC%A3%BC%EC%8C%8D%EC%8B%A0%EC%A7%91%EC%B9%BC%EA%B5%AD%EC%88%98+%EB%8C%80%EC%B2%AD%EB%8C%90%EC%A0%90+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 맛집 | 대덕구 칼국수 | 대덕구 한식,4,3,1031,100,92,20260720,79,지역성: 칼국수; 최근 12개월 블로그 100건,,
pending,대덕구,형제횟집,한식>생선회,대전광역시 대덕구 중리동 372-3 형제횟집,대전광역시 대덕구 중리로76번길 22 형제횟집,36.3657379,127.4263927,,https://search.naver.com/search.naver?where=blog&query=%ED%98%95%EC%A0%9C%ED%9A%9F%EC%A7%91+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 맛집 | 대덕구 한식 | 대덕구 해산물,4,3,317,76,93,20260708,72,최근 12개월 블로그 76건,,
pending,대덕구,나래원,음식점>한식,대전광역시 대덕구 비래동 139-10,대전광역시 대덕구 비래동로16번길 13,36.3551858,127.4506385,,https://search.naver.com/search.naver?where=blog&query=%EB%82%98%EB%9E%98%EC%9B%90+%EB%B9%84%EB%9E%98%EB%8F%99,대덕구 삼계탕 | 비래동 한식,4,2,363,36,81,20260717,69,최근 12개월 블로그 36건,,
pending,대덕구,백마강참숯민물장어,"한식>장어,먹장어요리",대전광역시 대덕구 비래동 561-1,대전광역시 대덕구 동서대로 1752,36.3522510,127.4431438,,https://search.naver.com/search.naver?where=blog&query=%EB%B0%B1%EB%A7%88%EA%B0%95%EC%B0%B8%EC%88%AF%EB%AF%BC%EB%AC%BC%EC%9E%A5%EC%96%B4+%EB%8C%80%EB%8D%95%EA%B5%AC,비래동 맛집 | 비래동 한식,4,2,142,31,92,20260712,68,최근 12개월 블로그 31건,,
pending,대덕구,옥천순대매운족발,"한식>순대,순댓국",대전광역시 대덕구 송촌동 565-31,대전광역시 대덕구 송촌로 9,36.3564774,127.4438293,,https://search.naver.com/search.naver?where=blog&query=%EC%98%A5%EC%B2%9C%EC%88%9C%EB%8C%80%EB%A7%A4%EC%9A%B4%EC%A1%B1%EB%B0%9C+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 고기 | 대덕구 국밥,3,2,1483,100,94,20260717,67,최근 12개월 블로그 100건,,
pending,대덕구,양평칼국수콩국수 본점,"음식점>한식>칼국수,만두",대전광역시 대덕구 중리동 166-10,대전광역시 대덕구 중리남로28번길 1,36.3611298,127.4285482,https://www.instagram.com/yangpyeong_kalguksu,https://search.naver.com/search.naver?where=blog&query=%EC%96%91%ED%8F%89%EC%B9%BC%EA%B5%AD%EC%88%98%EC%BD%A9%EA%B5%AD%EC%88%98+%EB%B3%B8%EC%A0%90+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 칼국수,1,1,1224,100,96,20260720,66,"지역성: 본점, 칼국수; 최근 12개월 블로그 100건",,
pending,대덕구,양평칼국수,"한식>칼국수,만두",대전광역시 대덕구 덕암동 3-24,대전광역시 대덕구 덕암로265번길 105,36.4470823,127.4213175,,https://search.naver.com/search.naver?where=blog&query=%EC%96%91%ED%8F%89%EC%B9%BC%EA%B5%AD%EC%88%98+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 칼국수 | 신탄진 칼국수 | 신탄진 한식,3,0,540,100,100,20260717,65,지역성: 칼국수; 최근 12개월 블로그 100건,,
pending,대덕구,만나숯불구이 중리동본점,"한식>육류,고기요리",대전광역시 대덕구 중리동 363-33 1층,대전광역시 대덕구 중리로75번길 20 1층,36.3658385,127.4239388,https://blog.naver.com/kong7249,https://search.naver.com/search.naver?where=blog&query=%EB%A7%8C%EB%82%98%EC%88%AF%EB%B6%88%EA%B5%AC%EC%9D%B4+%EC%A4%91%EB%A6%AC%EB%8F%99%EB%B3%B8%EC%A0%90+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 노포,2,1,518,100,90,20260717,64,지역성: 본점; 최근 12개월 블로그 100건,,
pending,대덕구,성채숯불구이 신탄진,"한식>육류,고기요리",대전광역시 대덕구 신탄진동 121-1 1층,대전광역시 대덕구 대청로 8 1층,36.4511364,127.4294903,https://www.instagram.com/scbbq.sintan_official/,https://search.naver.com/search.naver?where=blog&query=%EC%84%B1%EC%B1%84%EC%88%AF%EB%B6%88%EA%B5%AC%EC%9D%B4+%EC%8B%A0%ED%83%84%EC%A7%84+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 고기 | 신탄진 고기 | 신탄진 맛집 | 신탄진 한식,4,0,358,74,87,20260716,63,최근 12개월 블로그 74건,,
pending,대덕구,연탄구이,"한식>육류,고기요리",대전광역시 대덕구 오정동 445-14,대전광역시 대덕구 한남로88번길 6,36.3511412,127.4188553,,https://search.naver.com/search.naver?where=blog&query=%EC%97%B0%ED%83%84%EA%B5%AC%EC%9D%B4+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 고기 | 대덕구 노포,3,1,724,100,97,20260717,63,최근 12개월 블로그 100건,,
pending,대덕구,원조설악추어탕삼계탕,음식점>한식,대전광역시 대덕구 덕암동 8-15 원조설악추어탕삼계탕,대전광역시 대덕구 덕암북로48번길 9 원조설악추어탕삼계탕,36.4452281,127.4223176,,https://search.naver.com/search.naver?where=blog&query=%EC%9B%90%EC%A1%B0%EC%84%A4%EC%95%85%EC%B6%94%EC%96%B4%ED%83%95%EC%82%BC%EA%B3%84%ED%83%95+%EB%8C%80%EB%8D%95%EA%B5%AC,대덕구 삼계탕 | 신탄진 삼계탕,2,2,1144,100,98,20260715,63,최근 12개월 블로그 100건,,
