district,name,category,address,road_address,latitude,longitude,naver_link,recommendation_score,recommendation_reason
대덕구,맛집부추해물칼국수,"한식>칼국수,만두",대전광역시 대덕구 신탄진동 139-24,대전광역시 대덕구 신탄진로804번길 31,36.4495571,127.4315926,,87,지역성: 칼국수
대덕구,교동면옥 대전중리점,한식>냉면,대전광역시 대덕구 중리동 230-1 1층 교동면옥 대전중리점,대전광역시 대덕구 한밭대로 1100 1층 교동면옥 대전중리점,36.3581939,127.4207980,https://www.instagram.com/kyodong_myeonok/,84,지역성: 대전
대덕구,우림칼국수 신탄진점,"음식점>한식>칼국수,만두",대전광역시 대덕구 신탄진동 155-15 우림칼국수 신탄진점,대전광역시 대덕구 신탄진동로 16-2 우림칼국수 신탄진점,36.4474104,127.4313714,,84,지역성: 칼국수
대덕구,오문창순대국밥,"한식>순대,순댓국",대전광역시 대덕구 중리동 203-2,대전광역시 대덕구 한밭대로 1153,36.3592330,127.4265662,,81,
대덕구,공주쌍신집칼국수 대청댐점,"한식>칼국수,만두",대전광역시 대덕구 미호동 90-2 1층,대전광역시 대덕구 대청로 572 1층,36.4700081,127.4722662,https://app.catchtable.co.kr/ct/shop/gongjussangsin,79,지역성: 칼국수
대덕구,형제횟집,한식>생선회,대전광역시 대덕구 중리동 372-3 형제횟집,대전광역시 대덕구 중리로76번길 22 형제횟집,36.3657379,127.4263927,,72,
대덕구,나래원,음식점>한식,대전광역시 대덕구 비래동 139-10,대전광역시 대덕구 비래동로16번길 13,36.3551858,127.4506385,,69,
대덕구,백마강참숯민물장어,"한식>장어,먹장어요리",대전광역시 대덕구 비래동 561-1,대전광역시 대덕구 동서대로 1752,36.3522510,127.4431438,,68,
대덕구,옥천순대매운족발,"한식>순대,순댓국",대전광역시 대덕구 송촌동 565-31,대전광역시 대덕구 송촌로 9,36.3564774,127.4438293,,67,
대덕구,양평칼국수콩국수 본점,"음식점>한식>칼국수,만두",대전광역시 대덕구 중리동 166-10,대전광역시 대덕구 중리남로28번길 1,36.3611298,127.4285482,https://www.instagram.com/yangpyeong_kalguksu,66,"지역성: 본점, 칼국수"
대덕구,양평칼국수,"한식>칼국수,만두",대전광역시 대덕구 덕암동 3-24,대전광역시 대덕구 덕암로265번길 105,36.4470823,127.4213175,,65,지역성: 칼국수
대덕구,만나숯불구이 중리동본점,"한식>육류,고기요리",대전광역시 대덕구 중리동 363-33 1층,대전광역시 대덕구 중리로75번길 20 1층,36.3658385,127.4239388,https://blog.naver.com/kong7249,64,지역성: 본점
